date,country,adm,n_cum_conf,n_cum_deaths,n_inc_conf,n_inc_sus,n_inc_deaths,population_E4,n_cum_clin,n_cum_tot,n_inc_clin,n_inc_tot
2020-02-11,China,Shanghai,302,,,,,2424,,,,
2020-02-11,China,Shanxi,122,,,,,3718,,,,
2020-02-11,China,Sichuan,417,,,,,8341,,,,
2020-02-11,China,Taiwan,18,,,,,2359,,,,
2020-02-11,China,Tianjin,96,,,,,1560,,,,
2020-02-11,China,Xinjiang,55,,,,,2487,,,,
2020-02-11,China,Xizang,1,,,,,344,,,,
2020-02-11,China,Yunnan,149,,,,,4830,,,,
2020-02-11,China,Zhejiang,1117,,,,,5737,,,,
2020-02-12,China,all,44730,,,,,142823,,,,
2020-02-12,China,Anhui,889,,,,,6324,,,,
2020-02-12,China,Beijing,352,,,,,2154,,,,
2020-02-12,China,Chongqing,505,,,,,3102,,,,
2020-02-12,China,Fujian,272,,,,,3941,,,,
2020-02-12,China,Gansu,86,,,,,2637,,,,
2020-02-12,China,Guangdong,1219,,,,,11346,,,,
2020-02-12,China,Guangxi,222,,,,,4926,,,,
2020-02-12,China,Guizhou,131,,,,,3600,,,,
2020-02-12,China,Hainan,145,,,,,934,,,,
2020-02-12,China,Hebei,251,,,,,7556,,,,
2020-02-12,China,Heilongjiang,378,,,,,3773,,,,
2020-02-12,China,Henan,1135,,,,,9605,,,,
2020-02-12,China,Hong Kong SAR,49,,,,,745,,,,
2020-02-12,China,Hubei,33366,,,,,5917,,,,
2020-02-12,China,Hunan,946,,,,,6899,,,,
2020-02-12,China,Inner Mongolia,60,,,,,2534,,,,
2020-02-12,China,Jiangsu,543,,,,,8051,,,,
2020-02-12,China,Jiangxi,844,,,,,4648,,,,
2020-02-12,China,Jilin,83,,,,,2704,,,,
2020-02-12,China,Liaoning,111,,,,,4359,,,,
2020-02-12,China,Macao SAR,10,,,,,66,,,,
2020-02-12,China,Ningxia,58,,,,,688,,,,
2020-02-12,China,Qinghai,18,,,,,603,,,,
2020-02-12,China,Shaanxi,225,,,,,3864,,,,
2020-02-12,China,Shandong,497,,,,,10047,,,,
2020-02-12,China,Shanghai,306,,,,,2424,,,,
2020-02-12,China,Shanxi,124,,,,,3718,,,,
2020-02-12,China,Sichuan,436,,,,,8341,,,,
2020-02-12,China,Taiwan,18,,,,,2359,,,,
2020-02-12,China,Tianjin,106,,,,,1560,,,,
2020-02-12,China,Xinjiang,59,,,,,2487,,,,
2020-02-12,China,Xizang,1,,,,,344,,,,
2020-02-12,China,Yunnan,154,,,,,4830,,,,
2020-02-12,China,Zhejiang,1131,,,,,5737,,,,
2020-02-13,China,all,46550,,,,,142823,,,,
2020-02-13,China,Anhui,910,,,,,6324,,,,
2020-02-13,China,Beijing,366,,,,,2154,,,,
2020-02-13,China,Chongqing,518,,,,,3102,,,,
2020-02-13,China,Fujian,279,,,,,3941,,,,
