date,country,adm,population_E4,n_cum_conf,n_cum_deaths,n_inc_conf,n_inc_sus,n_inc_deaths,n_cum_clin,n_cum_tot,n_inc_clin,n_inc_tot
2020-02-12,China,Hainan,934,145,,,,,,,,
2020-02-12,China,Hebei,7556,251,,,,,,,,
2020-02-12,China,Heilongjiang,3773,378,,,,,,,,
2020-02-12,China,Henan,9605,1135,,,,,,,,
2020-02-12,China,Hong Kong SAR,745,49,,,,,,,,
2020-02-12,China,Hubei,5917,33366,,,,,,,,
2020-02-12,China,Hunan,6899,946,,,,,,,,
2020-02-12,China,Inner Mongolia,2534,60,,,,,,,,
2020-02-12,China,Jiangsu,8051,543,,,,,,,,
2020-02-12,China,Jiangxi,4648,844,,,,,,,,
2020-02-12,China,Jilin,2704,83,,,,,,,,
2020-02-12,China,Liaoning,4359,111,,,,,,,,
2020-02-12,China,Macao SAR,66,10,,,,,,,,
2020-02-12,China,Ningxia,688,58,,,,,,,,
2020-02-12,China,Qinghai,603,18,,,,,,,,
2020-02-12,China,Shaanxi,3864,225,,,,,,,,
2020-02-12,China,Shandong,10047,497,,,,,,,,
2020-02-12,China,Shanghai,2424,306,,,,,,,,
2020-02-12,China,Shanxi,3718,124,,,,,,,,
2020-02-12,China,Sichuan,8341,436,,,,,,,,
2020-02-12,China,Taiwan,2359,18,,,,,,,,
2020-02-12,China,Tianjin,1560,106,,,,,,,,
2020-02-12,China,Xinjiang,2487,59,,,,,,,,
2020-02-12,China,Xizang,344,1,,,,,,,,
2020-02-12,China,Yunnan,4830,154,,,,,,,,
2020-02-12,China,Zhejiang,5737,1131,,,,,,,,
2020-02-13,China,Anhui,6324,910,,,,,,,,
2020-02-13,China,Beijing,2154,366,,,,,,,,
2020-02-13,China,Chongqing,3102,518,,,,,,,,
2020-02-13,China,Fujian,3941,279,,,,,,,,
2020-02-13,China,Gansu,2637,87,,,,,,,,
2020-02-13,China,Guangdong,11346,1241,,,,,,,,
2020-02-13,China,Guangxi,4926,222,,,,,,,,
2020-02-13,China,Guizhou,3600,135,,,,,,,,
2020-02-13,China,Hainan,934,157,,,,,,,,
2020-02-13,China,Hebei,7556,265,,,,,,,,
2020-02-13,China,Heilongjiang,3773,395,,,,,,,,
2020-02-13,China,Henan,9605,1169,,,,,,,,
2020-02-13,China,Hong Kong SAR,745,50,,,,,,,,
2020-02-13,China,Hubei,5917,34874,,,,,,,,
2020-02-13,China,Hunan,6899,968,,,,,,,,
2020-02-13,China,Inner Mongolia,2534,61,,,,,,,,
2020-02-13,China,Jiangsu,8051,570,,,,,,,,
2020-02-13,China,Jiangxi,4648,872,,,,,,,,
2020-02-13,China,Jilin,2704,84,,,,,,,,
2020-02-13,China,Liaoning,4359,116,,,,,,,,
2020-02-13,China,Macao SAR,66,10,,,,,,,,
2020-02-13,China,Ningxia,688,64,,,,,,,,
2020-02-13,China,Qinghai,603,18,,,,,,,,
2020-02-13,China,Shaanxi,3864,229,,,,,,,,
2020-02-13,China,Shandong,10047,506,,,,,,,,
